Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement Rate,Fake Score,Trust Score,Anomaly
georginagio,43,LifestyleFashionClothing & Outfits,39000000.0,India,2700000.0,3800000.0,6.923076923076923,0,100,-1
champagnepapi,44,Music,116600000.0,United States,753600.0,1200000.0,0.6463121783876501,80,20,1
katrinakaif,45,Beauty,65599999.99999999,India,1900000.0,2200000.0,2.8963414634146347,0,100,1
harrystyles,46,MusicFashion,46300000.0,United States,2100000.0,2900000.0,4.535637149028078,0,100,1
mileycyrus,47,Music,178200000.0,United States,557800.0,757200.0,0.3130190796857463,80,20,1
eunwo.o_c,48,MusicLifestyle,29200000.0,Indonesia,3600000.0,4500000.0,12.32876712328767,0,100,-1
travisscott,49,Music,45800000.0,United States,1700000.0,2500000.0,3.711790393013101,0,100,1
ester_exposito,50,Cinema & Actors/actresses,29400000.0,Russia,2600000.0,3800000.0,8.843537414965986,0,100,-1
robertdowneyjr,51,Cinema & Actors/actresses,53200000.0,India,1600000.0,2000000.0,3.007518796992481,0,100,1
dlwlrma,52,Art/Artists,27000000.0,South Korea,3000000.0,3500000.0,11.11111111111111,0,100,-1
actorleeminho,53,Cinema & Actors/actresses,30100000.0,Indonesia,2400000.0,3100000.0,7.973421926910299,0,100,1
narendramodi,54,Finance & EconomicsBusiness & Careers,68200000.0,India,1200000.0,1300000.0,1.7595307917888565,0,100,1
shawnmendes,55,Music,69400000.0,Brazil,838000.0,1200000.0,1.207492795389049,0,100,1
k.mbappe,56,Sports with a ball,72400000.0,France,806500.0,1100000.0,1.113950276243094,0,100,1
johnnydepp,57,Cinema & Actors/actressesMusic,26600000.0,India,2400000.0,3100000.0,9.022556390977442,0,100,1
aliaabhatt,58,Cinema & Actors/actresses,67200000.0,India,979600.0,1200000.0,1.4577380952380952,0,100,1
oliviarodrigo,59,MusicCinema & Actors/actresses,27100000.0,India,2300000.0,2900000.0,8.487084870848708,0,100,1
anushkasharma,60,Cinema & Actors/actresses,59300000.0,India,1200000.0,1300000.0,2.0236087689713322,0,100,1
dualipa,61,Music,85100000.0,Mexico,729100.0,879100.0,0.8567567567567568,50,50,1
dovecameron,62,Cinema & Actors/actresses,48100000.0,United States,1200000.0,1500000.0,2.494802494802495,0,100,1
camila_cabello,63,Music,64400000.00000001,Brazil,845400.0,1100000.0,1.3127329192546582,0,100,1
